date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:39	96/96	---M-Z	200	added ('OK')	text/plain	etag:%2281-54bf1dddb78f4-gzip%22	https://nusaresearch.net/robots.txt		(from )
12:06:40	50546/50546	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2005:06:40%20GMT	https://nusaresearch.net/public/	D:/HTTrack/NusaResearch/nusaresearch.net/public/index.html	(from )
12:06:40	732/732	---M--	200	added ('OK')	image/png	etag:%222dc-54bf1ddafc569%22	https://nusaresearch.net/apple-touch-icon-57x57.png?v=699WgXW3jQ	D:/HTTrack/NusaResearch/nusaresearch.net/apple-touch-icon-57x57e5ed.png	(from https://nusaresearch.net/public/)
12:06:40	846/846	---M--	200	added ('OK')	image/png	etag:%2234e-54bf1ddafc569%22	https://nusaresearch.net/apple-touch-icon-60x60.png?v=699WgXW3jQ	D:/HTTrack/NusaResearch/nusaresearch.net/apple-touch-icon-60x60e5ed.png	(from https://nusaresearch.net/public/)
12:06:41	991/991	---M--	200	added ('OK')	image/png	etag:%223df-54bf1ddafc569%22	https://nusaresearch.net/apple-touch-icon-72x72.png?v=699WgXW3jQ	D:/HTTrack/NusaResearch/nusaresearch.net/apple-touch-icon-72x72e5ed.png	(from https://nusaresearch.net/public/)
12:06:41	1017/1017	---M--	200	added ('OK')	image/png	etag:%223f9-54bf1ddafc569%22	https://nusaresearch.net/apple-touch-icon-76x76.png?v=699WgXW3jQ	D:/HTTrack/NusaResearch/nusaresearch.net/apple-touch-icon-76x76e5ed.png	(from https://nusaresearch.net/public/)
12:06:41	1458/1458	---M--	200	added ('OK')	image/png	etag:%225b2-54bf1ddafc569%22	https://nusaresearch.net/apple-touch-icon-114x114.png?v=699WgXW3jQ	D:/HTTrack/NusaResearch/nusaresearch.net/apple-touch-icon-114x114e5ed.png	(from https://nusaresearch.net/public/)
12:06:41	1547/1547	---M--	200	added ('OK')	image/png	etag:%2260b-54bf1ddafc569%22	https://nusaresearch.net/apple-touch-icon-120x120.png?v=699WgXW3jQ	D:/HTTrack/NusaResearch/nusaresearch.net/apple-touch-icon-120x120e5ed.png	(from https://nusaresearch.net/public/)
12:06:41	1851/1851	---M--	200	added ('OK')	image/png	etag:%2273b-54bf1ddafc569%22	https://nusaresearch.net/apple-touch-icon-144x144.png?v=699WgXW3jQ	D:/HTTrack/NusaResearch/nusaresearch.net/apple-touch-icon-144x144e5ed.png	(from https://nusaresearch.net/public/)
12:06:42	1947/1947	---M--	200	added ('OK')	image/png	etag:%2279b-54bf1ddafc569%22	https://nusaresearch.net/apple-touch-icon-152x152.png?v=699WgXW3jQ	D:/HTTrack/NusaResearch/nusaresearch.net/apple-touch-icon-152x152e5ed.png	(from https://nusaresearch.net/public/)
12:06:42	2356/2356	---M--	200	added ('OK')	image/png	etag:%22934-54bf1ddafc569%22	https://nusaresearch.net/apple-touch-icon-180x180.png?v=699WgXW3jQ	D:/HTTrack/NusaResearch/nusaresearch.net/apple-touch-icon-180x180e5ed.png	(from https://nusaresearch.net/public/)
12:06:42	521/521	---M--	200	added ('OK')	image/png	etag:%22209-54bf1ddbb3eec%22	https://nusaresearch.net/favicon-32x32.png?v=699WgXW3jQ	D:/HTTrack/NusaResearch/nusaresearch.net/favicon-32x32e5ed.png	(from https://nusaresearch.net/public/)
12:06:42	3430/3430	---M--	200	added ('OK')	image/png	etag:%22d66-54bf1ddbb3eec%22	https://nusaresearch.net/favicon-194x194.png?v=699WgXW3jQ	D:/HTTrack/NusaResearch/nusaresearch.net/favicon-194x194e5ed.png	(from https://nusaresearch.net/public/)
12:06:43	1716/1716	---M--	200	added ('OK')	image/png	etag:%226b4-54bf1ddbb3eec%22	https://nusaresearch.net/favicon-96x96.png?v=699WgXW3jQ	D:/HTTrack/NusaResearch/nusaresearch.net/favicon-96x96e5ed.png	(from https://nusaresearch.net/public/)
12:06:43	2078/2078	---M--	200	added ('OK')	image/png	etag:%2281e-54bf1ddafc569%22	https://nusaresearch.net/android-chrome-192x192.png?v=699WgXW3jQ	D:/HTTrack/NusaResearch/nusaresearch.net/android-chrome-192x192e5ed.png	(from https://nusaresearch.net/public/)
12:06:43	327/327	---M--	200	added ('OK')	image/png	etag:%22147-54bf1ddbb3eec%22	https://nusaresearch.net/favicon-16x16.png?v=699WgXW3jQ	D:/HTTrack/NusaResearch/nusaresearch.net/favicon-16x16e5ed.png	(from https://nusaresearch.net/public/)
12:06:43	2624/2624	---M--	200	added ('OK')	image/png	etag:%22a40-54bf1ddc07ead%22	https://nusaresearch.net/mstile-144x144.png?v=699WgXW3jQ	D:/HTTrack/NusaResearch/nusaresearch.net/mstile-144x144e5ed.png	(from https://nusaresearch.net/public/)
12:06:43	242/242	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f2-54bf1ddb979cb-gzip%22	https://nusaresearch.net/application/templates/mobile/default/common/js/detect_android.js	D:/HTTrack/NusaResearch/nusaresearch.net/application/templates/mobile/default/common/js/detect_android.js	(from https://nusaresearch.net/public/)
12:06:44	14567/14567	---M-Z	200	added ('OK')	text/css	etag:%2238e7-566425fcdfb95-gzip%22	https://nusaresearch.net/public/css/popupApp.css?v=20170616	D:/HTTrack/NusaResearch/nusaresearch.net/public/css/popupApp4a61.css	(from https://nusaresearch.net/public/)
12:06:44	1125/1125	---M-Z	200	added ('OK')	application/x-javascript	etag:%22pub1490877064;gz%22	https://nusaresearch.net/min/b=public&f=js/slidebar.js	D:/HTTrack/NusaResearch/nusaresearch.net/min/b=public&f=js/slidebar.js	(from https://nusaresearch.net/public/)
12:06:44	1459/1459	---M-Z	200	added ('OK')	application/x-javascript	etag:%225b3-576d2995c5cae-gzip%22	https://nusaresearch.net/public/js/popupapp.js	D:/HTTrack/NusaResearch/nusaresearch.net/public/js/popupapp.js	(from https://nusaresearch.net/public/)
12:06:45	3121/3121	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec1-c31%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-cookie/1.4.1/jquery.cookie.js	D:/HTTrack/NusaResearch/cdnjs.cloudflare.com/ajax/libs/jquery-cookie/1.4.1/jquery.cookie.js	(from https://nusaresearch.net/public/)
12:06:45	4024/4024	---M-Z	200	added ('OK')	application/x-javascript	etag:%220c9bc09a7de9816c6151e93c96c4d65a%22	http://connect.facebook.net/en_US/fbds.js	D:/HTTrack/NusaResearch/connect.facebook.net/en_US/fbds.js	(from https://nusaresearch.net/public/)
